Target_protein,Target_Uniprot_AC,StringID_Target,Interactor,Interactor_UniProt_AC,StringID_Interactor,String_score,Experimental_score,Database_score,Textmining_score,PDB_ID,Experiment_Type,Resolution
CRX,O43186,9606.ENSP00000221996,NRL,P54845,9606.ENSP00000454062,0.714,0.322,0,0.596,,,
CRX,O43186,9606.ENSP00000221996,ATXN7,O15265,9606.ENSP00000295900,0.669,0.457,0,0.416,,,
CRX,O43186,9606.ENSP00000221996,BANF1,O75531,9606.ENSP00000433760,0.597,0.292,0,0.455,,,
CRX,O43186,9606.ENSP00000221996,SP4,Q02446,9606.ENSP00000222584,0.547,0.292,0,0.387,,,
CRX,O43186,9606.ENSP00000221996,KAT2A,Q92830,9606.ENSP00000225916,0.51,0.292,0,0.337,,,
CRX,O43186,9606.ENSP00000221996,IPO13,O94829,9606.ENSP00000361418,0.465,0.292,0,0.276,,,
CRX,O43186,9606.ENSP00000221996,NR2E3,Q9Y5X4,9606.ENSP00000482504,0.422,0.322,0,0.183,,,
CRX,O43186,9606.ENSP00000221996,M1AP,Q8TC57,9606.ENSP00000290536,0.42,0.42,0,0.0,,,
CRX,O43186,9606.ENSP00000221996,CA8,P35219,9606.ENSP00000314407,0.384,0.385,0,0.0,,,
CRX,O43186,9606.ENSP00000221996,PRKN,O60260,9606.ENSP00000355865,0.369,0.162,0,0.279,,,
CRX,O43186,9606.ENSP00000221996,SP1,P08047,9606.ENSP00000329357,0.292,0.292,0,0.0,,,
CRX,O43186,9606.ENSP00000221996,PRKCI,P41743,9606.ENSP00000295797,0.292,0.292,0,0.0,,,
CRX,O43186,9606.ENSP00000221996,SP3,Q02447,9606.ENSP00000310301,0.292,0.292,0,0.0,,,
CRX,O43186,9606.ENSP00000221996,RAX2,Q96IS3,9606.ENSP00000450456,0.292,0.292,0,0.0,,,
CRX,O43186,9606.ENSP00000221996,GCM2,O75603,9606.ENSP00000368805,0.258,0.259,0,0.0,,,
CRX,O43186,9606.ENSP00000221996,EP300,Q09472,9606.ENSP00000263253,0.25,0.23,0,0.066,,,
CRX,O43186,9606.ENSP00000221996,LARP4,Q71RC2,9606.ENSP00000415464,0.237,0.238,0,0.0,,,
CRX,O43186,9606.ENSP00000221996,SOX5,P35711,9606.ENSP00000398273,0.236,0.236,0,0.0,,,
CRX,O43186,9606.ENSP00000221996,ROR2,Q01974,9606.ENSP00000364860,0.225,0.226,0,0.0,,,
CRX,O43186,9606.ENSP00000221996,PRKAB2,O43741,9606.ENSP00000254101,0.22,0.22,0,0.0,,,
CRX,O43186,9606.ENSP00000221996,ATM,Q13315,9606.ENSP00000278616,0.213,0.213,0,0.0,,,
CRX,O43186,9606.ENSP00000221996,ATG12,O94817,9606.ENSP00000425107,0.209,0.209,0,0.0,,,
CRX,O43186,9606.ENSP00000221996,DELE1,Q14154,9606.ENSP00000396225,0.209,0.209,0,0.0,,,
CRX,O43186,9606.ENSP00000221996,PPP1R16B,Q96T49,9606.ENSP00000299824,0.207,0.207,0,0.0,,,
CRX,O43186,9606.ENSP00000221996,PSMF1,Q92530,9606.ENSP00000338039,0.204,0.204,0,0.0,,,
CRX,O43186,9606.ENSP00000221996,SOX14,O95416,9606.ENSP00000305343,0.197,0.197,0,0.0,,,
CRX,O43186,9606.ENSP00000221996,CCNC,P24863,9606.ENSP00000428982,0.197,0.197,0,0.0,,,
CRX,O43186,9606.ENSP00000221996,SOX3,P41225,9606.ENSP00000359567,0.197,0.197,0,0.0,,,
CRX,O43186,9606.ENSP00000221996,SMAP1,Q8IYB5,9606.ENSP00000359484,0.197,0.197,0,0.0,,,
CRX,O43186,9606.ENSP00000221996,PICALM,Q13492,9606.ENSP00000377015,0.194,0.194,0,0.0,,,
CRX,O43186,9606.ENSP00000221996,NPAS2,Q99743,9606.ENSP00000338283,0.193,0.193,0,0.0,,,
CRX,O43186,9606.ENSP00000221996,RBPMS,Q93062,9606.ENSP00000340176,0.183,0.184,0,0.0,,,
CRX,O43186,9606.ENSP00000221996,ABI2,Q9NYB9,9606.ENSP00000295851,0.165,0.165,0,0.0,,,
CRX,O43186,9606.ENSP00000221996,RBFOX1,Q9NWB1,9606.ENSP00000391269,0.163,0.163,0,0.0,,,
CRX,O43186,9606.ENSP00000221996,UBXN2B,Q14CS0,9606.ENSP00000382507,0.161,0.161,0,0.0,,,
CRX,O43186,9606.ENSP00000221996,C9orf72,Q96LT7,9606.ENSP00000482753,0.161,0.161,0,0.0,,,
CRX,O43186,9606.ENSP00000221996,GUCD1,Q96NT3,9606.ENSP00000479370,0.161,0.161,0,0.0,,,
