target uniprot id,target uniprot gene,interactor uniprot id,interactor uniprot gene,mentha score,PDB id,fusion,target chain id,target starting residue,target ending residue,interactor chain id,interactor starting residue,interactor ending residue,other interactors,method,resolution,dna chains,num ligands,PMID,pDockQ HuMap,pDockQ HuRI
O43186,CRX,Q96NJ5,KLHL32,na,na,na,na,na,na,na,na,na,na,na,na,na,na,na,0.265071,na
O43186,CRX,O75603,GCM2,0.722,na,na,na,na,na,na,na,na,na,na,na,na,na,25416956 unassigned1304 25910212 ,na,na
O43186,CRX,O43741,PRKAB2,0.659,na,na,na,na,na,na,na,na,na,na,na,na,na,25416956 unassigned1304 24722188 ,na,na
O43186,CRX,P35219,CA8,0.636,na,na,na,na,na,na,na,na,na,na,na,na,na,25416956 25910212 ,0.283805,na
O43186,CRX,O15265,ATXN7,0.623,na,na,na,na,na,na,na,na,na,na,na,na,na,11580893 15932940 ,na,na
O43186,CRX,Q2TAL8,QRICH1,0.583,na,na,na,na,na,na,na,na,na,na,na,na,na,25416956 unassigned1304 ,na,na
O43186,CRX,Q08117,AES,0.583,na,na,na,na,na,na,na,na,na,na,na,na,na,25416956 unassigned1304 ,na,na
O43186,CRX,P35711,SOX5,0.583,na,na,na,na,na,na,na,na,na,na,na,na,na,25416956 unassigned1304 ,na,na
O43186,CRX,Q17RB8,LONRF1,0.523,na,na,na,na,na,na,na,na,na,na,na,na,na,25416956 unassigned1304 ,0.200298,na
O43186,CRX,O75531,BANF1,0.523,na,na,na,na,na,na,na,na,na,na,na,na,na,12215455 ,na,na
O43186,CRX,Q8N9N5,BANP,0.49,na,na,na,na,na,na,na,na,na,na,na,na,na,unassigned1304 26871637 ,na,na
O43186,CRX,O14964,HGS,0.49,na,na,na,na,na,na,na,na,na,na,na,na,na,unassigned1304 26871637 ,na,na
O43186,CRX,Q9Y221,NIP7,0.454,na,na,na,na,na,na,na,na,na,na,na,na,na,25416956 ,0.432397,na
O43186,CRX,Q9UJX0,OSGIN1,0.454,na,na,na,na,na,na,na,na,na,na,na,na,na,25416956 ,0.325057,na
O43186,CRX,Q9NYB9,ABI2,0.454,na,na,na,na,na,na,na,na,na,na,na,na,na,25416956 ,0.383641,na
